FIPS,Name,State,StateName
1001,Autauga,AL,Alabama
1003,Baldwin,AL,Alabama
1005,Barbour,AL,Alabama
1007,Bibb,AL,Alabama
1009,Blount,AL,Alabama
1011,Bullock,AL,Alabama
1013,Butler,AL,Alabama
1015,Calhoun,AL,Alabama
1017,Chambers,AL,Alabama
1019,Cherokee,AL,Alabama
1021,Chilton,AL,Alabama
1023,Choctaw,AL,Alabama
1025,Clarke,AL,Alabama
1027,Clay,AL,Alabama
1029,Cleburne,AL,Alabama
1031,Coffee,AL,Alabama
1033,Colbert,AL,Alabama
1035,Conecuh,AL,Alabama
1037,Coosa,AL,Alabama
1039,Covington,AL,Alabama
1041,Crenshaw,AL,Alabama
1043,Cullman,AL,Alabama
1045,Dale,AL,Alabama
1047,Dallas,AL,Alabama
1049,De Kalb,AL,Alabama
1051,Elmore,AL,Alabama
1053,Escambia,AL,Alabama
1055,Etowah,AL,Alabama
1057,Fayette,AL,Alabama
1059,Franklin,AL,Alabama
1061,Geneva,AL,Alabama
1063,Greene,AL,Alabama
1065,Hale,AL,Alabama
1067,Henry,AL,Alabama
1069,Houston,AL,Alabama
1071,Jackson,AL,Alabama
1073,Jefferson,AL,Alabama
1075,Lamar,AL,Alabama
1077,Lauderdale,AL,Alabama
1079,Lawrence,AL,Alabama
1081,Lee,AL,Alabama
1083,Limestone,AL,Alabama
1085,Lowndes,AL,Alabama
1087,Macon,AL,Alabama
1089,Madison,AL,Alabama
1091,Marengo,AL,Alabama
1093,Marion,AL,Alabama
1095,Marshall,AL,Alabama
1097,Mobile,AL,Alabama
1099,Monroe,AL,Alabama
1101,Montgomery,AL,Alabama
1103,Morgan,AL,Alabama
1105,Perry,AL,Alabama
1107,Pickens,AL,Alabama
1109,Pike,AL,Alabama
1111,Randolph,AL,Alabama
1113,Russell,AL,Alabama
1115,St Clair,AL,Alabama
1117,Shelby,AL,Alabama
1119,Sumter,AL,Alabama
1121,Talladega,AL,Alabama
1123,Tallapoosa,AL,Alabama
1125,Tuscaloosa,AL,Alabama
1127,Walker,AL,Alabama
1129,Washington,AL,Alabama
1131,Wilcox,AL,Alabama
1133,Winston,AL,Alabama
2013,Aleutians East,AK,Alaska
2016,Aleutians West,AK,Alaska
2020,Anchorage,AK,Alaska
2050,Bethel,AK,Alaska
2060,Bristol Bay,AK,Alaska
2068,Denali,AK,Alaska
2070,Dillingham,AK,Alaska
2090,Fairbanks North Star,AK,Alaska
2100,Haines,AK,Alaska
2110,Juneau,AK,Alaska
2122,Kenai Peninsula,AK,Alaska
2130,Ketchikan Gateway,AK,Alaska
2150,Kodiak Island,AK,Alaska
2164,Lake and Peninsula,AK,Alaska
2170,Matanuska-Susitna,AK,Alaska
2180,Nome,AK,Alaska
2185,North Slope,AK,Alaska
2188,Northwest Arctic,AK,Alaska
2201,Prince of Wales-Outer Ketchikan,AK,Alaska
2220,Sitka,AK,Alaska
2232,Skagway-Hoonah-Angoon,AK,Alaska
2240,Southeast Fairbanks,AK,Alaska
2261,Valdez-Cordova,AK,Alaska
2270,Wade Hampton,AK,Alaska
2280,Wrangell-Petersburg,AK,Alaska
2282,Yakutat,AK,Alaska
2290,Yukon-Koyukuk,AK,Alaska
4001,Apache,AZ,Arizona
4003,Cochise,AZ,Arizona
4005,Coconino,AZ,Arizona
4007,Gila,AZ,Arizona
4009,Graham,AZ,Arizona
4011,Greenlee,AZ,Arizona
4012,La Paz,AZ,Arizona
4013,Maricopa,AZ,Arizona
4015,Mohave,AZ,Arizona
4017,Navajo,AZ,Arizona
4019,Pima,AZ,Arizona
4021,Pinal,AZ,Arizona
4023,Santa Cruz,AZ,Arizona
4025,Yavapai,AZ,Arizona
4027,Yuma,AZ,Arizona
5001,Arkansas,AR,Arkansas
5003,Ashley,AR,Arkansas
5005,Baxter,AR,Arkansas
5007,Benton,AR,Arkansas
5009,Boone,AR,Arkansas
5011,Bradley,AR,Arkansas
5013,Calhoun,AR,Arkansas
5015,Carroll,AR,Arkansas
5017,Chicot,AR,Arkansas
5019,Clark,AR,Arkansas
5021,Clay,AR,Arkansas
5023,Cleburne,AR,Arkansas
5025,Cleveland,AR,Arkansas
5027,Columbia,AR,Arkansas
5029,Conway,AR,Arkansas
5031,Craighead,AR,Arkansas
5033,Crawford,AR,Arkansas
5035,Crittenden,AR,Arkansas
5037,Cross,AR,Arkansas
5039,Dallas,AR,Arkansas
5041,Desha,AR,Arkansas
5043,Drew,AR,Arkansas
5045,Faulkner,AR,Arkansas
5047,Franklin,AR,Arkansas
5049,Fulton,AR,Arkansas
5051,Garland,AR,Arkansas
5053,Grant,AR,Arkansas
5055,Greene,AR,Arkansas
5057,Hempstead,AR,Arkansas
5059,Hot Spring,AR,Arkansas
5061,Howard,AR,Arkansas
5063,Independence,AR,Arkansas
5065,Izard,AR,Arkansas
5067,Jackson,AR,Arkansas
5069,Jefferson,AR,Arkansas
5071,Johnson,AR,Arkansas
5073,Lafayette,AR,Arkansas
5075,Lawrence,AR,Arkansas
5077,Lee,AR,Arkansas
5079,Lincoln,AR,Arkansas
5081,Little River,AR,Arkansas
5083,Logan,AR,Arkansas
5085,Lonoke,AR,Arkansas
5087,Madison,AR,Arkansas
5089,Marion,AR,Arkansas
5091,Miller,AR,Arkansas
5093,Mississippi,AR,Arkansas
5095,Monroe,AR,Arkansas
5097,Montgomery,AR,Arkansas
5099,Nevada,AR,Arkansas
5101,Newton,AR,Arkansas
5103,Ouachita,AR,Arkansas
5105,Perry,AR,Arkansas
5107,Phillips,AR,Arkansas
5109,Pike,AR,Arkansas
5111,Poinsett,AR,Arkansas
5113,Polk,AR,Arkansas
5115,Pope,AR,Arkansas
5117,Prairie,AR,Arkansas
5119,Pulaski,AR,Arkansas
5121,Randolph,AR,Arkansas
5123,St Francis,AR,Arkansas
